ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,8
ALG-137,693016585199,7
ALG-137,693016585205,49
ALG-137,693016585212,74
ALG-137,693016585229,112
ALG-137,693016585236,87
ALG-137,693016585243,52
ALG-137,693016585250,12
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,11
ALG-138,693016585397,18
ALG-138,693016585403,63
ALG-138,693016585410,95
ALG-138,693016585427,87
ALG-138,693016585434,78
ALG-138,693016585441,34
ALG-138,693016585458,20
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,5
ALG-139,693016585496,0
ALG-139,693016585502,0
ALG-139,693016585519,16
ALG-139,693016585526,38
ALG-139,693016585533,14
ALG-139,693016585540,12
ALG-139,693016585557,12
ALG-139,693016585564,0
ALG-231,693016532681,0
ALG-231,693016532698,12
ALG-231,693016532704,22
ALG-231,693016532711,33
ALG-231,693016532728,84
ALG-231,693016532735,100
ALG-231,693016532742,0
ALG-231,693016532759,0
ALG-231,693016532766,0
ALG-231,693016532773,0
ALG-324,693016562602,0
ALG-324,693016562619,4
ALG-324,693016562626,37
ALG-324,693016562633,41
ALG-324,693016562640,78
ALG-324,693016562657,80
ALG-324,693016562664,19
ALG-324,693016562671,29
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,3
ALG-372,693016585298,0
ALG-372,693016585304,17
ALG-372,693016585311,42
ALG-372,693016585328,61
ALG-372,693016585335,41
ALG-372,693016585342,18
ALG-372,693016585359,9
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,23
ALG-422,693016569526,71
ALG-422,693016569533,152
ALG-422,693016569540,194
ALG-422,693016569557,219
ALG-422,693016569564,133
ALG-422,693016569571,87
ALG-422,693016569588,17
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,17
ALG-425,693016570027,37
ALG-425,693016570034,65
ALG-425,693016570041,96
ALG-425,693016570058,117
ALG-425,693016570065,79
ALG-425,693016570072,41
ALG-425,693016570089,15
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,16
ALG-429,693016569922,52
ALG-429,693016569939,52
ALG-429,693016569946,47
ALG-429,693016569953,37
ALG-429,693016569960,46
ALG-429,693016569977,28
ALG-429,693016569984,13
ALG-429,693016569991,0
ALG-531,693016266128,37
ALG-531,693016266135,51
ALG-531,693016266142,63
ALG-531,693016266159,93
ALG-531,693016266166,158
ALG-531,693016266173,132
ALG-531,693016266180,100
ALG-531,693016266197,63
ALG-532,693016266203,25
ALG-532,693016266210,10
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,0
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,23
ALG-542,693016533107,7
ALG-542,693016533114,0
ALG-542,693016533121,17
ALG-542,693016533138,0
ALG-542,693016533145,0
ALG-542,693016533152,0
ALG-542,693016533169,16
