ItemNo,UPCcode,Current_Quantity_Available
ALG-137,693016585175,0
ALG-137,693016585182,4
ALG-137,693016585199,0
ALG-137,693016585205,19
ALG-137,693016585212,27
ALG-137,693016585229,55
ALG-137,693016585236,50
ALG-137,693016585243,20
ALG-137,693016585250,0
ALG-137,693016585267,0
ALG-138,693016585373,0
ALG-138,693016585380,10
ALG-138,693016585397,8
ALG-138,693016585403,51
ALG-138,693016585410,86
ALG-138,693016585427,78
ALG-138,693016585434,69
ALG-138,693016585441,28
ALG-138,693016585458,16
ALG-138,693016585465,0
ALG-139,693016585472,0
ALG-139,693016585489,0
ALG-139,693016585496,0
ALG-139,693016585502,0
ALG-139,693016585519,0
ALG-139,693016585526,0
ALG-139,693016585533,0
ALG-139,693016585540,0
ALG-139,693016585557,0
ALG-139,693016585564,0
ALG-147,693016608942,0
ALG-147,693016608959,9
ALG-147,693016608966,40
ALG-147,693016608973,39
ALG-147,693016608980,27
ALG-147,693016608997,8
ALG-147,693016609000,10
ALG-147,693016609017,0
ALG-147,693016609024,0
ALG-148,693016609147,0
ALG-148,693016609154,0
ALG-148,693016609161,0
ALG-148,693016609178,0
ALG-148,693016609185,0
ALG-148,693016609192,0
ALG-148,693016609208,0
ALG-148,693016609215,0
ALG-148,693016609222,0
ALG-231,693016532681,0
ALG-231,693016532698,8
ALG-231,693016532704,17
ALG-231,693016532711,17
ALG-231,693016532728,62
ALG-231,693016532735,77
ALG-231,693016532742,0
ALG-231,693016532759,0
ALG-231,693016532766,0
ALG-231,693016532773,0
ALG-324,693016562602,0
ALG-324,693016562619,3
ALG-324,693016562626,26
ALG-324,693016562633,16
ALG-324,693016562640,40
ALG-324,693016562657,55
ALG-324,693016562664,2
ALG-324,693016562671,5
ALG-324,693016562688,0
ALG-324,693016562695,0
ALG-372,693016585274,0
ALG-372,693016585281,3
ALG-372,693016585298,0
ALG-372,693016585304,7
ALG-372,693016585311,26
ALG-372,693016585328,35
ALG-372,693016585335,18
ALG-372,693016585342,10
ALG-372,693016585359,0
ALG-372,693016585366,0
ALG-422,693016569502,0
ALG-422,693016569519,20
ALG-422,693016569526,62
ALG-422,693016569533,142
ALG-422,693016569540,177
ALG-422,693016569557,202
ALG-422,693016569564,126
ALG-422,693016569571,80
ALG-422,693016569588,12
ALG-422,693016569595,0
ALG-425,693016570003,0
ALG-425,693016570010,15
ALG-425,693016570027,32
ALG-425,693016570034,56
ALG-425,693016570041,79
ALG-425,693016570058,103
ALG-425,693016570065,69
ALG-425,693016570072,35
ALG-425,693016570089,14
ALG-425,693016570096,0
ALG-429,693016569908,0
ALG-429,693016569915,16
ALG-429,693016569922,48
ALG-429,693016569939,40
ALG-429,693016569946,31
ALG-429,693016569953,19
ALG-429,693016569960,35
ALG-429,693016569977,20
ALG-429,693016569984,0
ALG-429,693016569991,0
ALG-435,693016609345,0
ALG-435,693016609352,0
ALG-435,693016609369,9
ALG-435,693016609376,2
ALG-435,693016609383,0
ALG-435,693016609390,0
ALG-435,693016609406,0
ALG-435,693016609413,0
ALG-435,693016609420,0
ALG-531,693016266128,43
ALG-531,693016266135,109
ALG-531,693016266142,209
ALG-531,693016266159,221
ALG-531,693016266166,337
ALG-531,693016266173,265
ALG-531,693016266180,162
ALG-531,693016266197,75
ALG-532,693016266203,25
ALG-532,693016266210,10
ALG-532,693016266227,0
ALG-532,693016266234,0
ALG-532,693016266241,2
ALG-532,693016266258,0
ALG-532,693016266265,0
ALG-532,693016266272,0
ALG-542,693016533084,0
ALG-542,693016533091,21
ALG-542,693016533107,25
ALG-542,693016533114,0
ALG-542,693016533121,82
ALG-542,693016533138,10
ALG-542,693016533145,16
ALG-542,693016533152,24
ALG-542,693016533169,18
ALG-542,693016533176,0
ALG-570,693016609048,21
ALG-570,693016609055,20
ALG-570,693016609062,47
ALG-570,693016609079,57
ALG-570,693016609086,41
ALG-570,693016609093,26
ALG-570,693016609109,13
ALG-570,693016609116,0
ALG-570,693016609123,0
ALG-575,693016569700,0
ALG-575,693016569717,12
ALG-575,693016569724,28
ALG-575,693016569731,60
ALG-575,693016569748,58
ALG-575,693016569755,74
ALG-575,693016569762,61
ALG-575,693016569779,52
ALG-575,693016569786,30
ALG-575,693016569793,0
ALG-601,693016214464,31
ALG-601,693016208494,10
ALG-601,693016208500,29
ALG-601,693016208517,32
ALG-601,693016208524,89
ALG-601,693016208531,20
ALG-601,693016208548,11
ALG-601,693016208555,0
ALG-631,693016272846,0
ALG-631,693016272853,0
ALG-631,693016272860,0
ALG-631,693016272877,0
ALG-631,693016272884,0
ALG-631,693016272891,0
ALG-631,693016272907,0
ALG-631,693016272914,0
ALG-640,693016609246,5
ALG-640,693016609253,19
ALG-640,693016609260,35
ALG-640,693016609277,66
ALG-640,693016609284,41
ALG-640,693016609291,7
ALG-640,693016609307,11
ALG-640,693016609314,0
ALG-640,693016609321,0
ALG-644,693016519781,0
ALG-644,693016519798,7
ALG-644,693016519804,10
ALG-644,693016519811,15
ALG-644,693016519828,31
ALG-644,693016519835,44
ALG-644,693016519842,38
ALG-644,693016519859,22
ALG-644,693016519866,0
ALG-644,693016519873,0
ALG-686,693016585571,0
ALG-686,693016585588,11
ALG-686,693016585595,39
ALG-686,693016585601,99
ALG-686,693016585618,144
ALG-686,693016585625,158
ALG-686,693016585632,116
ALG-686,693016585649,77
ALG-686,693016585656,35
ALG-686,693016585663,0
ALG-719,693016569809,0
ALG-719,693016569816,6
ALG-719,693016569823,0
ALG-719,693016569830,41
ALG-719,693016569847,53
ALG-719,693016569854,51
ALG-719,693016569861,66
ALG-719,693016569878,24
ALG-719,693016569885,0
ALG-719,693016569892,0
ALG-998,693016543984,0
ALG-998,693016543991,30
